Date,NAV,Change,Fund Name,AMC Name,Launch Date,AUM (Crore),TER (%),Return (%),YTM (%),1W (%),1M (%),3M (%),6M (%),YTD (%),1Y (%),2Y (%),3Y (%),5Y (%),1W_Rank_Out_Of_12,1M_Rank_Out_Of_12,3M_Rank_Out_Of_12,6M_Rank_Out_Of_12,YTD_Rank_Out_Of_12,1Y_Rank_Out_Of_12,2Y_Rank_Out_Of_12,3Y_Rank_Out_Of_12,5Y_Rank_Out_Of_8,Standard Deviation,Beta,Sharpe Ratio,Jension's Alpha,Treynor's Ratio,1Y,2Y,3Y,5Y,% Debt Holding,No of debt holdings,% Cash Holding
11-11-2025,13.7207,-0.01,SBI Floating Rate Debt Fund Direct - Growth,SBIMF,27-10-2020,794.84,0.25,7.26,6.6,0.11,0.23,1.22,3.12,6.61,7.41,8.02,7.92,6.46,11,12,12,11,12,12,11,10,7,0.68,0.42,2.87,1.28,0.05,0.0355,0.0786,0.1238,0.1987,0.8888,11,0.1112
10-11-2025,13.729,0.01,SBI Floating Rate Debt Fund Direct - Growth,SBIMF,27-10-2020,794.84,0.25,7.26,6.6,0.11,0.23,1.22,3.12,6.61,7.41,8.02,7.92,6.46,11,12,12,11,12,12,11,10,7,0.68,0.42,2.87,1.28,0.05,0.0355,0.0786,0.1238,0.1987,0.8888,11,0.1112
07-11-2025,13.7198,0,SBI Floating Rate Debt Fund Direct - Growth,SBIMF,27-10-2020,794.84,0.25,7.26,6.6,0.11,0.23,1.22,3.12,6.61,7.41,8.02,7.92,6.46,11,12,12,11,12,12,11,10,7,0.68,0.42,2.87,1.28,0.05,0.0355,0.0786,0.1238,0.1987,0.8888,11,0.1112
06-11-2025,13.7193,0.01,SBI Floating Rate Debt Fund Direct - Growth,SBIMF,27-10-2020,794.84,0.25,7.26,6.6,0.11,0.23,1.22,3.12,6.61,7.41,8.02,7.92,6.46,11,12,12,11,12,12,11,10,7,0.68,0.42,2.87,1.28,0.05,0.0355,0.0786,0.1238,0.1987,0.8888,11,0.1112
04-11-2025,13.7047,0.02,SBI Floating Rate Debt Fund Direct - Growth,SBIMF,27-10-2020,794.84,0.25,7.26,6.6,0.11,0.23,1.22,3.12,6.61,7.41,8.02,7.92,6.46,11,12,12,11,12,12,11,10,7,0.68,0.42,2.87,1.28,0.05,0.0355,0.0786,0.1238,0.1987,0.8888,11,0.1112
03-11-2025,13.6882,0.01,SBI Floating Rate Debt Fund Direct - Growth,SBIMF,27-10-2020,794.84,0.25,7.26,6.6,0.11,0.23,1.22,3.12,6.61,7.41,8.02,7.92,6.46,11,12,12,11,12,12,11,10,7,0.68,0.42,2.87,1.28,0.05,0.0355,0.0786,0.1238,0.1987,0.8888,11,0.1112
31-10-2025,13.6793,0.01,SBI Floating Rate Debt Fund Direct - Growth,SBIMF,27-10-2020,794.84,0.25,7.26,6.6,0.11,0.23,1.22,3.12,6.61,7.41,8.02,7.92,6.46,11,12,12,11,12,12,11,10,7,0.68,0.42,2.87,1.28,0.05,0.0355,0.0786,0.1238,0.1987,0.8888,11,0.1112
30-10-2025,13.6728,0,SBI Floating Rate Debt Fund Direct - Growth,SBIMF,27-10-2020,794.84,0.25,7.26,6.6,0.11,0.23,1.22,3.12,6.61,7.41,8.02,7.92,6.46,11,12,12,11,12,12,11,10,7,0.68,0.42,2.87,1.28,0.05,0.0355,0.0786,0.1238,0.1987,0.8888,11,0.1112
29-10-2025,13.6763,0,SBI Floating Rate Debt Fund Direct - Growth,SBIMF,27-10-2020,794.84,0.25,7.26,6.6,0.11,0.23,1.22,3.12,6.61,7.41,8.02,7.92,6.46,11,12,12,11,12,12,11,10,7,0.68,0.42,2.87,1.28,0.05,0.0355,0.0786,0.1238,0.1987,0.8888,11,0.1112
28-10-2025,13.6728,0,SBI Floating Rate Debt Fund Direct - Growth,SBIMF,27-10-2020,794.84,0.25,7.26,6.6,0.11,0.23,1.22,3.12,6.61,7.41,8.02,7.92,6.46,11,12,12,11,12,12,11,10,7,0.68,0.42,2.87,1.28,0.05,0.0355,0.0786,0.1238,0.1987,0.8888,11,0.1112
