Date,NAV,Change,Change(%),Fund Name,Plan,AMC Name,Launch Date,AUM (Crore),TER (%),Invested Amount,Current Value,Return (%),YTM,1W,1M,3M,6M,YTD,1Y,2Y,3Y,5Y,1W_Rank_Out_Of_12,1M_Rank_Out_Of_12,3M_Rank_Out_Of_12,6M_Rank_Out_Of_12,YTD_Rank_Out_Of_12,1Y_Rank_Out_Of_12,2Y_Rank_Out_Of_12,3Y_Rank_Out_Of_12,5Y_Rank_Out_Of_8
2025-11-11,13.7207,-0.01,-0.06,SBI Floating Rate Debt Fund Direct - Growth,Direct Plan,SBIMF,2020-10-27,794.84,0.25,600000,716799,7.26,6.6,0.11,0.23,1.22,3.12,6.61,7.41,8.02,7.92,6.46,11,12,12,11,12,12,11,10,7
2025-11-10,13.729,0.01,0.07,SBI Floating Rate Debt Fund Direct - Growth,Direct Plan,SBIMF,2020-10-27,794.84,0.25,600000,716799,7.26,6.6,0.11,0.23,1.22,3.12,6.61,7.41,8.02,7.92,6.46,11,12,12,11,12,12,11,10,7
2025-11-07,13.7198,0.0,0.0,SBI Floating Rate Debt Fund Direct - Growth,Direct Plan,SBIMF,2020-10-27,794.84,0.25,600000,716799,7.26,6.6,0.11,0.23,1.22,3.12,6.61,7.41,8.02,7.92,6.46,11,12,12,11,12,12,11,10,7
2025-11-06,13.7193,0.01,0.11,SBI Floating Rate Debt Fund Direct - Growth,Direct Plan,SBIMF,2020-10-27,794.84,0.25,600000,716799,7.26,6.6,0.11,0.23,1.22,3.12,6.61,7.41,8.02,7.92,6.46,11,12,12,11,12,12,11,10,7
2025-11-04,13.7047,0.02,0.12,SBI Floating Rate Debt Fund Direct - Growth,Direct Plan,SBIMF,2020-10-27,794.84,0.25,600000,716799,7.26,6.6,0.11,0.23,1.22,3.12,6.61,7.41,8.02,7.92,6.46,11,12,12,11,12,12,11,10,7
2025-11-03,13.6882,0.01,0.07,SBI Floating Rate Debt Fund Direct - Growth,Direct Plan,SBIMF,2020-10-27,794.84,0.25,600000,716799,7.26,6.6,0.11,0.23,1.22,3.12,6.61,7.41,8.02,7.92,6.46,11,12,12,11,12,12,11,10,7
2025-10-31,13.6793,0.01,0.05,SBI Floating Rate Debt Fund Direct - Growth,Direct Plan,SBIMF,2020-10-27,794.84,0.25,600000,716799,7.26,6.6,0.11,0.23,1.22,3.12,6.61,7.41,8.02,7.92,6.46,11,12,12,11,12,12,11,10,7
2025-10-30,13.6728,0.0,-0.03,SBI Floating Rate Debt Fund Direct - Growth,Direct Plan,SBIMF,2020-10-27,794.84,0.25,600000,716799,7.26,6.6,0.11,0.23,1.22,3.12,6.61,7.41,8.02,7.92,6.46,11,12,12,11,12,12,11,10,7
2025-10-29,13.6763,0.0,0.03,SBI Floating Rate Debt Fund Direct - Growth,Direct Plan,SBIMF,2020-10-27,794.84,0.25,600000,716799,7.26,6.6,0.11,0.23,1.22,3.12,6.61,7.41,8.02,7.92,6.46,11,12,12,11,12,12,11,10,7
2025-10-28,13.6728,0.0,0.01,SBI Floating Rate Debt Fund Direct - Growth,Direct Plan,SBIMF,2020-10-27,794.84,0.25,600000,716799,7.26,6.6,0.11,0.23,1.22,3.12,6.61,7.41,8.02,7.92,6.46,11,12,12,11,12,12,11,10,7
2025-10-27,13.6712,0.0,0.0,SBI Floating Rate Debt Fund Direct - Growth,Direct Plan,SBIMF,2020-10-27,794.84,0.25,600000,716799,7.26,6.6,0.11,0.23,1.22,3.12,6.61,7.41,8.02,7.92,6.46,11,12,12,11,12,12,11,10,7
2025-10-24,13.6717,0.0,0.01,SBI Floating Rate Debt Fund Direct - Growth,Direct Plan,SBIMF,2020-10-27,794.84,0.25,600000,716799,7.26,6.6,0.11,0.23,1.22,3.12,6.61,7.41,8.02,7.92,6.46,11,12,12,11,12,12,11,10,7
2025-10-23,13.6704,0.0,0.0,SBI Floating Rate Debt Fund Direct - Growth,Direct Plan,SBIMF,2020-10-27,794.84,0.25,600000,716799,7.26,6.6,0.11,0.23,1.22,3.12,6.61,7.41,8.02,7.92,6.46,11,12,12,11,12,12,11,10,7
2025-10-20,13.6708,0.01,0.04,SBI Floating Rate Debt Fund Direct - Growth,Direct Plan,SBIMF,2020-10-27,794.84,0.25,600000,716799,7.26,6.6,0.11,0.23,1.22,3.12,6.61,7.41,8.02,7.92,6.46,11,12,12,11,12,12,11,10,7
2025-10-17,13.6651,0.0,0.01,SBI Floating Rate Debt Fund Direct - Growth,Direct Plan,SBIMF,2020-10-27,794.84,0.25,600000,716799,7.26,6.6,0.11,0.23,1.22,3.12,6.61,7.41,8.02,7.92,6.46,11,12,12,11,12,12,11,10,7
2025-10-16,13.6635,0.0,0.01,SBI Floating Rate Debt Fund Direct - Growth,Direct Plan,SBIMF,2020-10-27,794.84,0.25,600000,716799,7.26,6.6,0.11,0.23,1.22,3.12,6.61,7.41,8.02,7.92,6.46,11,12,12,11,12,12,11,10,7
2025-10-15,13.6623,0.0,-0.03,SBI Floating Rate Debt Fund Direct - Growth,Direct Plan,SBIMF,2020-10-27,794.84,0.25,600000,716799,7.26,6.6,0.11,0.23,1.22,3.12,6.61,7.41,8.02,7.92,6.46,11,12,12,11,12,12,11,10,7
2025-10-14,13.6666,-0.01,-0.08,SBI Floating Rate Debt Fund Direct - Growth,Direct Plan,SBIMF,2020-10-27,794.84,0.25,600000,716799,7.26,6.6,0.11,0.23,1.22,3.12,6.61,7.41,8.02,7.92,6.46,11,12,12,11,12,12,11,10,7
2025-10-13,13.6768,-0.01,-0.08,SBI Floating Rate Debt Fund Direct - Growth,Direct Plan,SBIMF,2020-10-27,794.84,0.25,600000,716799,7.26,6.6,0.11,0.23,1.22,3.12,6.61,7.41,8.02,7.92,6.46,11,12,12,11,12,12,11,10,7
2025-10-10,13.6881,0.0,0.03,SBI Floating Rate Debt Fund Direct - Growth,Direct Plan,SBIMF,2020-10-27,794.84,0.25,600000,716799,7.26,6.6,0.11,0.23,1.22,3.12,6.61,7.41,8.02,7.92,6.46,11,12,12,11,12,12,11,10,7
2025-10-09,13.6834,0.0,0.0,SBI Floating Rate Debt Fund Direct - Growth,Direct Plan,SBIMF,2020-10-27,794.84,0.25,600000,716799,7.26,6.6,0.11,0.23,1.22,3.12,6.61,7.41,8.02,7.92,6.46,11,12,12,11,12,12,11,10,7
2025-10-08,13.6836,0.0,0.0,SBI Floating Rate Debt Fund Direct - Growth,Direct Plan,SBIMF,2020-10-27,794.84,0.25,600000,716799,7.26,6.6,0.11,0.23,1.22,3.12,6.61,7.41,8.02,7.92,6.46,11,12,12,11,12,12,11,10,7
